customer_id,tenure,city_tier,preferred_payment_mode,prefered_order_cat,satisfaction_score,complain,order_count,day_since_last_order,cashback_amount,churn
50001,5.0,1,Debit Card,Laptop & Accessory,5,1,4,4.0,130.13,0
50002,30.0,1,Credit Card,Mobile Phone,5,1,6,14.0,99.11,0
50003,13.0,1,Debit Card,Laptop & Accessory,3,0,4,11.0,122.36,0
50004,9.0,1,Debit Card,Laptop & Accessory,3,0,2,8.0,92.38,0
50005,2.0,2,Debit Card,Grocery,4,0,1,15.0,204.61,0
50006,2.0,3,Debit Card,Fashion,3,0,3,6.0,116.34,0
50007,1.0,2,UPI,Grocery,1,0,5,1.0,128.17,0
50008,20.0,1,Credit Card,Mobile Phone,5,0,3,11.0,120.02,0
50009,9.0,3,Debit Card,Mobile Phone,3,0,3,6.0,161.24,0
50010,12.0,1,Debit Card,Fashion,2,1,3,7.0,296.98,0
50011,0.0,1,Debit Card,Laptop & Accessory,4,0,3,4.0,186.57,0
50012,35.0,1,Debit Card,Fashion,5,0,2,9.0,70.02,0
50013,18.0,1,Credit Card,Laptop & Accessory,5,0,2,1.0,159.53,0
50014,2.0,1,Debit Card,Fashion,4,0,5,6.0,107.55,0
50015,2.0,1,E wallet,Fashion,1,0,4,3.0,114.44,0
50016,2.0,1,Credit Card,Laptop & Accessory,4,0,2,1.0,148.14,0
50017,4.0,1,Debit Card,Fashion,4,0,6,3.0,201.45,0
50018,7.0,1,UPI,Laptop & Accessory,2,0,3,10.0,209.59,0
50019,6.0,3,Debit Card,Mobile Phone,5,0,3,1.0,218.13,0
50020,3.0,2,Debit Card,Fashion,1,0,1,5.0,126.6,1
50021,9.0,1,Debit Card,Fashion,3,0,4,7.0,220.36,0
50022,2.0,1,Debit Card,Others,1,1,2,2.0,150.08,1
50023,3.0,3,Debit Card,Laptop & Accessory,5,0,4,2.0,214.8,0
50024,5.0,1,Debit Card,Mobile Phone,1,0,2,6.0,183.74,0
50025,6.0,3,UPI,Grocery,3,0,1,0.0,261.6,0
50026,15.0,1,E wallet,Mobile Phone,5,0,4,4.0,142.7,0
50027,2.0,3,Credit Card,Grocery,3,1,1,11.0,170.74,0
50028,7.0,1,Credit Card,Mobile Phone,2,0,3,5.0,242.89,0
50029,9.0,1,Credit Card,Fashion,2,1,2,2.0,179.38,1
50030,0.0,2,Debit Card,Grocery,3,1,3,7.0,144.64,0
50031,9.0,1,Debit Card,Grocery,3,1,2,2.0,168.3,0
50032,2.0,1,Debit Card,Grocery,4,0,3,1.0,263.48,0
50033,1.0,1,Credit Card,Laptop & Accessory,2,0,5,0.0,105.28,0
50034,30.0,2,Debit Card,Mobile Phone,4,1,3,10.0,164.24,0
50035,34.0,1,Debit Card,Laptop & Accessory,5,1,1,5.0,221.32,0
50036,17.0,1,Debit Card,Laptop & Accessory,5,1,3,3.0,176.99,0
50037,4.0,1,Debit Card,Mobile Phone,4,0,3,5.0,254.33,0
50038,1.0,1,Debit Card,Others,5,1,2,1.0,152.63,0
50039,12.0,2,Debit Card,Mobile Phone,5,0,9,0.0,196.89,0
50040,6.0,1,Debit Card,Grocery,4,1,2,8.0,247.43,1
50041,1.0,1,Debit Card,Others,3,0,5,12.0,231.58,0
50042,7.0,1,Debit Card,Laptop & Accessory,5,0,2,1.0,102.64,0
50043,0.0,1,Debit Card,Laptop & Accessory,5,0,3,3.0,239.62,0
50044,24.0,1,Debit Card,Laptop & Accessory,1,1,1,12.0,179.29,0
50045,3.0,1,E wallet,Mobile Phone,5,0,2,8.0,137.51,0
50046,11.0,1,Debit Card,Laptop & Accessory,3,0,5,3.0,146.85,0
50047,4.0,3,Debit Card,Fashion,3,0,2,1.0,140.15,0
50048,7.0,1,Debit Card,Laptop & Accessory,3,1,2,2.0,131.84,1
50049,8.0,2,Debit Card,Laptop & Accessory,3,0,2,8.0,235.67,0
