customer_id,tenure,city_tier,warehouse_to_home,hour_spend_on_app,number_of_device_registered,satisfaction_score,number_of_address,complain,order_amount_hike_from_last_year,coupon_used,order_count,day_since_last_order,cashback_amount,churn,ingested_at,recency_days,frequency_orders,monetary_cashback,r_score,f_score,m_score,preferred_login_device_Mobile Phone,preferred_login_device_Phone,preferred_payment_mode_Credit Card,preferred_payment_mode_Debit Card,preferred_payment_mode_E wallet,preferred_payment_mode_UPI,gender_Male,prefered_order_cat_Grocery,prefered_order_cat_Laptop & Accessory,prefered_order_cat_Mobile Phone,prefered_order_cat_Others,marital_status_Married,marital_status_Single,rfm_segment_Champions,rfm_segment_Hibernating,rfm_segment_Loyal Customers,rfm_segment_Need Attention,rfm_segment_Potential Loyalist,rfm_segment_Promising
50001,5.0,1,14.0,3,3,5,2,1,15.0,1,4,4.0,130.13,0,2026-09-09 16:06:02.022715,4.0,4,130.13,3,4,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
50002,30.0,1,35.0,3,4,5,5,1,18.0,3,6,14.0,99.11,0,2026-09-09 16:06:02.022715,14.0,6,99.11,1,5,1,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
50003,13.0,1,19.0,2,4,3,6,0,19.0,4,4,11.0,122.36,0,2026-09-09 16:06:02.022715,11.0,4,122.36,1,4,1,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
50004,9.0,1,21.0,2,1,3,5,0,23.0,3,2,8.0,92.38,0,2026-09-09 16:06:02.022715,8.0,2,92.38,2,1,1,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
50005,2.0,2,6.0,2,1,4,4,0,13.0,5,1,15.0,204.61,0,2026-09-09 16:06:02.022715,15.0,1,204.61,1,1,4,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
50006,2.0,3,8.0,4,2,3,2,0,13.0,0,3,6.0,116.34,0,2026-09-09 16:06:02.022715,6.0,3,116.34,2,3,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
50007,1.0,2,7.0,2,5,1,1,0,26.0,1,5,1.0,128.17,0,2026-09-09 16:06:02.022715,1.0,5,128.17,5,5,1,False,True,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False
50008,20.0,1,10.0,2,3,5,2,0,15.0,2,3,11.0,120.02,0,2026-09-09 16:06:02.022715,11.0,3,120.02,1,3,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
50009,9.0,3,12.0,3,6,3,6,0,11.0,1,3,6.0,161.24,0,2026-09-09 16:06:02.022715,6.0,3,161.24,2,3,2,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
50010,12.0,1,13.0,2,5,2,4,1,12.0,1,3,7.0,296.98,0,2026-09-09 16:06:02.022715,7.0,3,296.98,2,3,5,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
