customer_id,churn_risk_pct,risk_tier,tenure_months,satisfaction_score,complaint_status,prefered_order_cat,preferred_payment_mode,day_since_last_order,order_count,cashback_amount,rfm_segment,r_score,f_score,m_score,recommended_action
54313,97.57,High,1.0,1,Yes (Active Ticket),Fashion,COD,17.0,8,77.83,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
54077,95.22,High,6.0,1,Yes (Active Ticket),Fashion,Debit Card,28.0,2,96.84,Hibernating,1,2,1,URGENT: Support Escalation & Retention Credit
55070,94.8,High,0.0,4,Yes (Active Ticket),Laptop & Accessory,E wallet,17.0,3,134.52,At Risk,1,4,1,URGENT: Support Escalation & Retention Credit
52310,94.39,High,4.0,3,Yes (Active Ticket),Mobile Phone,Credit Card,40.0,1,189.35,Promising,1,1,4,URGENT: Support Escalation & Retention Credit
50912,94.27,High,3.0,3,Yes (Active Ticket),Laptop & Accessory,Debit Card,18.0,5,113.59,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
52805,94.15,High,7.0,3,Yes (Active Ticket),Laptop & Accessory,Debit Card,27.0,2,200.37,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
54751,93.89,High,4.0,3,No,Grocery,Credit Card,18.0,1,90.33,Hibernating,1,1,1,Onboarding Outreach & Personal Discount
55264,93.68,High,1.0,2,Yes (Active Ticket),Laptop & Accessory,Debit Card,17.0,5,83.03,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
52606,93.66,High,7.0,3,Yes (Active Ticket),Mobile Phone,Credit Card,26.0,3,130.48,At Risk,1,3,1,URGENT: Support Escalation & Retention Credit
51534,93.54,High,3.0,1,Yes (Active Ticket),Others,Debit Card,15.0,2,212.55,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
54867,93.53,High,4.0,3,No,Laptop & Accessory,Debit Card,32.0,2,116.56,Hibernating,1,2,1,Onboarding Outreach & Personal Discount
52235,93.44,High,11.0,3,Yes (Active Ticket),Fashion,E wallet,20.0,2,208.3,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
52466,93.34,High,2.0,3,No,Laptop & Accessory,Debit Card,28.0,2,158.87,Hibernating,1,2,2,Onboarding Outreach & Personal Discount
51191,93.22,High,1.0,5,Yes (Active Ticket),Fashion,E wallet,30.0,1,105.0,Hibernating,1,1,1,URGENT: Support Escalation & Retention Credit
53761,93.21,High,1.0,4,Yes (Active Ticket),Laptop & Accessory,E wallet,11.0,3,132.9,At Risk,1,3,1,URGENT: Support Escalation & Retention Credit
52300,93.2,High,4.0,3,Yes (Active Ticket),Fashion,Debit Card,18.0,2,185.16,Need Attention,1,2,3,URGENT: Support Escalation & Retention Credit
52754,93.05,High,4.0,4,Yes (Active Ticket),Grocery,Debit Card,15.0,1,163.01,Hibernating,1,1,2,URGENT: Support Escalation & Retention Credit
54254,93.03,High,7.0,2,Yes (Active Ticket),Others,E wallet,18.0,1,188.84,Promising,1,1,4,URGENT: Support Escalation & Retention Credit
54153,92.78,High,12.0,2,Yes (Active Ticket),Mobile Phone,Debit Card,27.0,4,163.88,At Risk,1,4,3,URGENT: Support Escalation & Retention Credit
53998,92.61,High,5.0,3,No,Laptop & Accessory,E wallet,25.0,5,154.99,At Risk,1,5,2,Onboarding Outreach & Personal Discount
54064,92.61,High,3.0,1,Yes (Active Ticket),Fashion,Debit Card,4.0,2,168.88,Potential Loyalist,3,2,3,URGENT: Support Escalation & Retention Credit
53548,92.54,High,7.0,3,No,Laptop & Accessory,COD,35.0,2,175.8,Need Attention,1,2,3,Targeted Win-Back Campaign
51266,92.47,High,1.0,3,Yes (Active Ticket),Mobile Phone,Credit Card,27.0,4,219.25,At Risk,1,4,5,URGENT: Support Escalation & Retention Credit
53881,92.44,High,7.0,3,No,Mobile Phone,Debit Card,25.0,1,199.17,Promising,1,1,4,Targeted Win-Back Campaign
51393,92.36,High,2.0,1,No,Laptop & Accessory,Debit Card,16.0,1,197.78,Promising,1,1,4,Onboarding Outreach & Personal Discount
50913,92.0,High,10.0,1,Yes (Active Ticket),Mobile Phone,Credit Card,11.0,2,191.97,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
54959,91.95,High,2.0,4,Yes (Active Ticket),Grocery,Credit Card,21.0,2,100.63,Hibernating,1,2,1,URGENT: Support Escalation & Retention Credit
52184,91.86,High,4.0,5,Yes (Active Ticket),Mobile Phone,E wallet,44.0,1,180.18,Promising,1,1,3,URGENT: Support Escalation & Retention Credit
53307,91.75,High,5.0,5,Yes (Active Ticket),Mobile Phone,UPI,18.0,3,167.02,At Risk,1,3,3,URGENT: Support Escalation & Retention Credit
52400,91.67,High,10.0,2,Yes (Active Ticket),Laptop & Accessory,Credit Card,17.0,1,167.08,Promising,1,1,3,URGENT: Support Escalation & Retention Credit
52775,91.54,High,8.0,5,Yes (Active Ticket),Laptop & Accessory,UPI,28.0,1,129.17,Hibernating,1,1,1,URGENT: Support Escalation & Retention Credit
50134,91.44,High,4.0,5,Yes (Active Ticket),Mobile Phone,Debit Card,19.0,3,67.03,At Risk,1,3,1,URGENT: Support Escalation & Retention Credit
50129,91.17,High,0.0,5,Yes (Active Ticket),Fashion,E wallet,12.0,3,133.64,At Risk,1,3,1,URGENT: Support Escalation & Retention Credit
54796,91.17,High,4.0,4,Yes (Active Ticket),Laptop & Accessory,Credit Card,8.0,8,133.82,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
50522,91.11,High,5.0,3,Yes (Active Ticket),Mobile Phone,Debit Card,16.0,5,200.49,At Risk,1,5,4,URGENT: Support Escalation & Retention Credit
53429,91.07,High,20.0,2,Yes (Active Ticket),Mobile Phone,Debit Card,25.0,9,121.16,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
53313,91.01,High,12.0,3,Yes (Active Ticket),Fashion,E wallet,16.0,2,180.97,Need Attention,1,2,3,URGENT: Support Escalation & Retention Credit
55595,90.88,High,4.0,3,No,Mobile Phone,Credit Card,19.0,1,133.02,Hibernating,1,1,1,Onboarding Outreach & Personal Discount
54782,90.87,High,2.0,3,No,Laptop & Accessory,COD,34.0,2,185.42,Need Attention,1,2,3,Onboarding Outreach & Personal Discount
55051,90.81,High,2.0,3,Yes (Active Ticket),Mobile Phone,Credit Card,18.0,2,286.5,Need Attention,1,2,5,URGENT: Support Escalation & Retention Credit
51751,90.76,High,8.0,2,Yes (Active Ticket),Laptop & Accessory,UPI,9.0,2,156.48,Hibernating,1,2,2,URGENT: Support Escalation & Retention Credit
54540,90.71,High,1.0,5,Yes (Active Ticket),Mobile Phone,Debit Card,16.0,5,166.0,At Risk,1,5,3,URGENT: Support Escalation & Retention Credit
53011,90.61,High,8.0,2,No,Fashion,E wallet,18.0,4,155.43,At Risk,1,4,2,Targeted Win-Back Campaign
50185,90.46,High,3.0,1,Yes (Active Ticket),Grocery,Credit Card,9.0,2,177.41,Need Attention,1,2,3,URGENT: Support Escalation & Retention Credit
53488,90.45,High,1.0,3,No,Grocery,Debit Card,14.0,1,41.12,Hibernating,1,1,1,Onboarding Outreach & Personal Discount
54445,90.44,High,5.0,3,Yes (Active Ticket),Fashion,Credit Card,9.0,2,257.17,Need Attention,1,2,5,URGENT: Support Escalation & Retention Credit
55300,90.43,High,0.0,4,Yes (Active Ticket),Laptop & Accessory,E wallet,20.0,4,126.64,At Risk,1,4,1,URGENT: Support Escalation & Retention Credit
54432,90.25,High,8.0,3,No,Laptop & Accessory,Debit Card,29.0,6,86.0,At Risk,1,5,1,Targeted Win-Back Campaign
53616,90.24,High,1.0,4,Yes (Active Ticket),Mobile Phone,E wallet,18.0,2,183.95,Need Attention,1,2,3,URGENT: Support Escalation & Retention Credit
53058,90.23,High,1.0,3,Yes (Active Ticket),Mobile Phone,UPI,7.0,2,126.21,Hibernating,2,2,1,URGENT: Support Escalation & Retention Credit
53696,90.14,High,0.0,3,Yes (Active Ticket),Others,Debit Card,14.0,4,180.73,At Risk,1,4,3,URGENT: Support Escalation & Retention Credit
55620,90.06,High,2.0,3,No,Mobile Phone,Debit Card,33.0,4,195.63,At Risk,1,5,4,Onboarding Outreach & Personal Discount
50989,90.03,High,3.0,3,Yes (Active Ticket),Mobile Phone,Debit Card,19.0,2,154.7,Hibernating,1,2,2,URGENT: Support Escalation & Retention Credit
50344,89.95,High,6.0,1,No,Fashion,Debit Card,15.0,5,131.12,At Risk,1,5,1,Onboarding Outreach & Personal Discount
